Filtered_message,Decision
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836.
Receiver area was modified.
3 of 3 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096, since previous inspection several joints were replaced.
4 out of 4 AGM markers were recorded,",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096, since previous inspection several joints were replaced.
6 of 6 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836.
3 of 3 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096, since previous inspection several joints were replaced.
4 of 4 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836.
Pipe magnetization during run was out of spec. for 30.13% of pipeline, min. value is 20 kA/m, max. value is 31.87 kA/m, avg. value is 29.35 kA/m.
6 out of 6 AGM markers were recorded",0
,0
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096.
6 of 6 AGM markers were recorded.",1
"Hope you're safe and sound.

Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836, since previous inspection several joints were replaced.
Distance system from previous inspection was shifted on 2.319m to set launcher first valve to zero.
Launcher area was modified. 
5 of 5 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to CDP R1.
Combination of R1 and R2 is needed for data evaluation. 
Tool velocity was out of spec. for 7.78% of p/l length due to speed jumps during run, max. value is 4.88 m/s and avg. value is 1.61 m/s (max. allow tool velocity is 3m/s).
2 of 2 AGM markers recorded.",0
,0
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12301, since previous inspection several joints were replaced.
6 of 6 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836.
Receiver area was modified.
7 of 7 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836
2 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12301
3 of 3 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096, since previous inspection some joints were replaced.
Receiver area was modified.
7 of 7 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096
6 of 7 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11651
2 of 2 AGM markers were recorded.",1
"Happy New Year !

Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836
5 of 5 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836
6 of 6 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11746
ODO slippages occurred during run. The initial recorded",0
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836.
3 of 3 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher first valve was set to zero.
5 of 5 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11746.
Recorded",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher first valve was set to zero.
2 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11746, since previous inspection some joints were replaced.
ODO slippages occurred during run. Recorded",0
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836, since previous inspection some joints were replaced.
10 of 10 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096.
6 of 6 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11651.
IRC sensor loss is 7.14 % (max. allowance for TCO is 3.0 %).
2 of 2 AGM markers recorded",0
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836.
10 of 10 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
First launcher valve was set to zero.
ODO slippages occurred during run. Recorded",0
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836, since previous inspection some joints were replaced.
3 of 3 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11746.
5 of 5 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11746.
3 of 3 AGM markers were recorded.",1
,0
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to CDP R2.
Combination of R1, R2 and R3 is needed for data evaluation. 
PHH sensor loss is 8.18 %. IRC sensor loss is 8.08 % (max. allowance for TCO is 3.0 %).
5 of 5 AGM markers recorded",0
,0
"Please see the conclusion of DPRE for a.m. run:
 
&middot;         Distance system was adapted to prev. inspection project no. 4-7005-12096.
&middot;         Low pipe magnetization was observed during the run.
&middot;         Calc. WT is between 11.5 mm and 12.5 mm, nom. WT from EOF is 9.5 mm. 
&middot;         5 of 5 AGM markers were recorded.",0
